"days","gasprice"
0.790230,87.5400
5.82471,86.5860
8.76149,86.5860
11.2787,100.472
12.9569,97.7160
23.0259,93.1580
28.4799,89.2360
31.4167,92.0980
33.9339,87.9640
40.6466,85.5260
43.5833,83.3000
47.3592,80.4380
49.4569,79.8020
51.9741,83.3000
57.4282,78.7420
59.5259,87.1160
61.6236,81.3920
65.3994,79.1660
68.7557,91.8860
72.1121,87.8580
77.1466,84.9960
80.0833,93.9000
82.6006,93.3700
83.0201,91.6740
85.9569,90.7200
88.0546,101.214
93.5086,100.154
96.8649,105.878
98.1236,106.196
98.9626,108.634
101.480,107.468
101.480,105.666
103.997,104.076
108.193,103.334
114.066,99.3060
121.618,96.2320
124.135,99.0940
125.394,96.0200
130.009,92.9460
131.687,94.5360
133.784,92.4160
136.721,90.8260
139.239,93.0520
140.497,90.4020
148.468,89.1300
151.405,98.7760
152.664,98.9880
155.181,97.2920
157.698,94.6420
159.796,97.6100
162.313,94.1120
171.543,91.5680
174.060,94.7480
176.158,93.0520
177.836,90.5080
180.773,88.7060
184.968,88.1760
186.227,101.214
189.164,102.592
192.101,100.790
194.618,101.320
197.555,100.048
200.491,107.044
201.330,108.528
204.687,107.892
210.560,103.758
214.336,100.896
219.790,98.1400
222.727,94.8540
225.244,93.2640
227.761,93.1580
228.601,98.2460
231.537,98.7760
233.216,97.0800
235.733,94.8540
240.348,94.3240
242.865,103.864
244.543,105.030
247.480,103.970
249.158,100.896
254.193,97.0800
257.549,95.4900
261.325,93.9000
265.101,91.0380
270.135,88.3880
273.911,87.2220
276.848,88.0700
276.848,91.9920
280.204,89.7660
283.560,87.6460
286.917,98.8820
291.532,95.7020
298.244,93.6880
303.279,92.2040
308.313,89.4480
309.991,89.0240
312.509,100.684
315.865,98.2460
321.738,96.5500
325.095,94.5360
328.871,92.3100
333.066,91.1440
335.583,98.7760
338.520,98.1400
340.618,105.030
346.911,103.758
351.106,98.9880
356.141,94.1120
360.756,89.7660
365.790,88.7060
